stimuli,expected_value
Выпала _роса_.,"кIер, чиза’н, лам, сырсы’р, чий, к1ер, укьуй гъ1ад хьед, чи, чизан, чий, чийгъан"
"Закрой _дверь_, холодно","рак, гал, рак, рак1"
Пойдем ловить _рыбу_,"баьлугь, мурджух, миджурух, балугъ, мужру’х, балугъ"
Французы едят _лягушек_,"пыIлхъ, гъыIб, паь’нтей, паI’лта, гъы1б, мы1хъ?, пы1лхъ, хъалхъ, хы1б"
"Загани машину, закрой _ворота_","даьрваьзаь, къапы’, давраза, давразабыр, дарваза, дарвазабыр, дарвазыбыр, ракбыр"
Он забил гвоздь _молотком_,"сант, кытIаь’, баркIв"
В том доме _свет_ в окне,"екв, аIлам, йокв, нур, якв, заз, ищир, шавх, екв, ёкв, исуь??, исю?, ишигъ"
Я потерял ключ от _замка_,"гулег, къаьлаь, гуьлегмар, гӱлӓгмар, къватI, къва’цIбы, къватIбыр, гулег, гюлег, къул?"
В центре живота _пупок_,"ухьнид дан, ухьни’дан, бицI, ухьни’тIал, радкьа’н, уIфли’тIан, пиц1, уфнид дан, ухнид дан, ухьнид дан, ухьнид т1ан"
Птицы сделали _гнездо_.,"фар, аIквал, околь , йуваь’, экул, аь’кваьл, акъвал, акъу, фар, хва, шейдид фар, ыкъваль, эку"
"Абрикос желтый, _слива_ синяя","гываьли, шводе, шваьде’, нагъв, гывали, дамбы’л, гавали, гывели, гывыли, гыгели, кавали, пылибыр?, шегьди, шугьди"
Ребенок разрезал бумагу _ножницами_,"кьыIчIидбыр, маькIраьтI, макIра’тI, къадыч1быр, къачид, къычид, кьы1ч1ид, кьыIдичIбыр, кьыIчIидбыр, кьыч1ид, мыкьрад"
Папа косит _косой_,"чIи’накI, чIаI’наIкI, шинакI, дирья’ц, дергес, ч1а1на1к1, ч1анак1, ч1ина1к1, ч1инак1, ч1инакь, чинакь"
У дерева большая _тень_,"аIхъ, къаралти, аIхъаI’н, кулга’, а1хъ"
Пшеницу убирают _серпом_,"хаьбаьк, араб, аIраб, ши’накI, ха’бак, араб, араби, ик1, хабахъ, хыбык, хьабак"
У пастуха длинный _кнут_,"кьаьмчи, къирма’дж, къамчи, чумк, чунг, анчи, къамчи, кьамчи, т1ул"
_Волк_ задрал овцу.,"убул, джана’вар, губул, убул"
Бросил собаке _кость_,"кьыры’б, зинг"
"Раньше у нас не было пива, и варили _бузу_","хаIн, тIач"
_Уздечку_ надевают лошади на морду,"наIхьре, ныхьре’быр, нигьрябур, нихреб, къанта’ргъа"
Мама испекла _чуду_.,"фаьтир, хваьйче’л,  йы’кьцар, гырцI, гырц, гугалай, пIыри"
Мама подоила _корову_,"зер, зӓр, чавра’, кьара’хъый, чавра’, тIыбы’гъа"
Корова в _хлеву_,"вихь, товле’"
У _осла_ длинные уши.,"йи’мел, йымаIль, йы’маьл, йуь’маьл, къазах"
У Мадины красивое _платье_.,"уху’н, выхы’н, дун"
На окне _капля_ дождя,"кIуд, гыды’г, укI, тIанкI"
Ахмед убил _ежа_,"кирп’и, кIынгъыIр,  гъыIллинцI, жаьжуь, жюже’, хъылынцI, кирпи’к"
Я купил _лошадь_,"гьайван, гьейван, гьийван, йиван, йийван,  балка’н"
